# Weather station Chofu (airport), Japan, METAR=RJTF,selection from 01.01.2020 till 31.12.2020, all days,,,,,,,,
# Encoding: ANSI,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis""", rp5.ru,,,,,,,,,,,
# If you use the data, please indicate the name of the website.,,,,,,,,,,,
,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Chofu (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
02.11.2020 12:00,21,758.3,762,57,Wind blowing from the north,5,,,,"Few clouds (10-30%) 750 m, broken clouds (60-90%) 900 m, broken clouds (60-90%)",10.0 and more,12
02.11.2020 11:00,20,759.1,762.8,64,Wind blowing from the north,2,,,,"Few clouds (10-30%) 750 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 4500 m",10.0 and more,13
02.11.2020 10:00,18,759.7,763.5,68,Wind blowing from the east-northeast,2,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 3000 m, broken clouds (60-90%) 4500 m",10.0 and more,12
02.11.2020 09:00,16,760.5,764.3,72,variable wind direction,1,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 4500 m",10.0 and more,11
02.11.2020 08:30,15,760.5,764.3,72,variable wind direction,1,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 1800 m",10.0 and more,10
01.11.2020 16:00,18,763.5,767.3,64,Wind blowing from the south-east,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%)",10.0 and more,11
01.11.2020 15:00,19,763.5,767.3,56,Wind blowing from the south-southeast,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%)",10.0 and more,10
01.11.2020 14:00,20,763.6,767.3,53,Wind blowing from the south-east,4,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,10
01.11.2020 13:00,20,764.3,768.1,46,Wind blowing from the south-southeast,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m, broken clouds (60-90%)",10.0 and more,8
01.11.2020 12:00,18,764.3,768.1,49,Wind blowing from the south-east,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m, broken clouds (60-90%)",10.0 and more,7
01.11.2020 11:00,17,765.8,769.6,49,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m",10.0 and more,6
01.11.2020 10:00,15,766.6,770.4,59,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%)",10.0 and more,7
01.11.2020 09:00,14,767.3,771.1,59,Wind blowing from the north-northwest,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1500 m",10.0 and more,6
31.10.2020 16:00,18,765.1,768.9,34,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,2
31.10.2020 15:00,18,764.3,768.1,34,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,2
31.10.2020 14:00,19,764.3,768.1,32,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,2
31.10.2020 13:00,18,764.3,768.1,34,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,2
31.10.2020 12:00,18,764.3,768.1,37,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,3
31.10.2020 11:00,17,765.1,768.9,37,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,2
31.10.2020 10:00,16,765.8,769.6,39,Wind blowing from the north-northeast,5,,,,No Significant Clouds,10.0 and more,2
31.10.2020 09:00,14,765.8,769.6,48,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,3
31.10.2020 08:30,13,765.8,769.6,55,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,4
30.10.2020 16:00,17,759,762.8,37,Wind blowing from the north-northwest,4,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 2100 m",10.0 and more,2
30.10.2020 15:00,18,758.3,762,34,Wind blowing from the north,5,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 3000 m",10.0 and more,2
30.10.2020 14:00,18,758.3,762,40,Wind blowing from the north,5,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 3000 m",10.0 and more,4
30.10.2020 13:00,17,758.2,762,45,Wind blowing from the north-northeast,5,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1500 m, broken clouds (60-90%) 2400 m",10.0 and more,5
30.10.2020 12:00,17,758.2,762,42,Wind blowing from the north-northeast,5,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m",10.0 and more,4
30.10.2020 11:00,17,759,762.8,42,Wind blowing from the north,6,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m, broken clouds (60-90%) 2700 m",10.0 and more,4
30.10.2020 10:00,16,759.7,763.5,48,Wind blowing from the north,5,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m",10.0 and more,5
30.10.2020 09:00,15,759.7,763.5,45,Wind blowing from the north,5,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m",10.0 and more,3
30.10.2020 08:30,15,759.7,763.5,45,Wind blowing from the north,5,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m",10.0 and more,3
29.10.2020 16:00,20,757.5,761.2,35,Wind blowing from the north-northwest,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,4
29.10.2020 15:00,21,757.5,761.2,38,Wind blowing from the north,4,,,,Few clouds (10-30%) 900 m,10.0 and more,6
29.10.2020 14:00,22,757.5,761.2,36,Wind blowing from the north-east,4,,,,Few clouds (10-30%) 900 m,10.0 and more,6
29.10.2020 13:00,22,756.8,760.5,41,Wind blowing from the north-northwest,4,,,,Few clouds (10-30%) 900 m,10.0 and more,8
29.10.2020 12:00,21,757.5,761.2,40,Wind blowing from the north,4,,,,Few clouds (10-30%) 900 m,10.0 and more,7
29.10.2020 11:00,21,758.3,762,40,Wind blowing from the north,7,,,,Few clouds (10-30%) 900 m,10.0 and more,7
29.10.2020 10:00,20,758.3,762,46,Wind blowing from the north,7,,,,No Significant Clouds,10.0 and more,8
29.10.2020 09:00,19,758.3,762,52,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,9
29.10.2020 08:30,17,759,762.8,64,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,10
28.10.2020 16:00,19,759.8,763.5,56,Wind blowing from the south-southeast,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 4500 m",10.0 and more,10
28.10.2020 15:00,19,759.8,763.5,56,Wind blowing from the south-southeast,3,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 4500 m",10.0 and more,10
28.10.2020 14:00,19,759.8,763.5,60,Wind blowing from the south-southeast,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 4500 m, broken clouds (60-90%) 5400 m",10.0 and more,11
28.10.2020 13:00,19,759.8,763.5,60,Wind blowing from the south,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 5400 m, broken clouds (60-90%)",10.0 and more,11
28.10.2020 12:00,19,760.6,764.3,60,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 5400 m, broken clouds (60-90%)",10.0 and more,11
28.10.2020 11:00,18,761.2,765,64,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 4500 m, broken clouds (60-90%)",10.0 and more,11
28.10.2020 10:00,17,762,765.8,68,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 5400 m, broken clouds (60-90%)",10.0 and more,11
28.10.2020 09:00,17,762,765.8,68,Wind blowing from the north,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 5400 m, broken clouds (60-90%)",10.0 and more,11
28.10.2020 08:30,17,762.8,766.6,68,Wind blowing from the north-northwest,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 5400 m, broken clouds (60-90%)",10.0 and more,11
27.10.2020 16:00,20,759.8,763.5,56,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,11
27.10.2020 15:00,20,759.1,762.8,53,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,10
27.10.2020 14:00,20,759.1,762.8,49,variable wind direction,2,,,,No Significant Clouds,10.0 and more,9
27.10.2020 13:00,19,759.8,763.5,52,variable wind direction,2,,,,No Significant Clouds,10.0 and more,9
27.10.2020 12:00,19,760.6,764.3,52,variable wind direction,2,,,,No Significant Clouds,10.0 and more,9
27.10.2020 11:00,18,761.2,765,60,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,10
27.10.2020 10:00,16,761.2,765,63,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,9
27.10.2020 09:00,15,761.2,765,68,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,9
26.10.2020 16:00,21,757.5,761.2,46,Wind blowing from the south-southeast,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2400 m",10.0 and more,9
26.10.2020 15:00,21,756.8,760.5,43,Wind blowing from the south,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m",10.0 and more,8
26.10.2020 14:00,22,756.8,760.5,38,Wind blowing from the east-southeast,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m",10.0 and more,7
26.10.2020 13:00,23,756.8,760.5,33,Wind blowing from the south-southeast,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m",10.0 and more,6
26.10.2020 12:00,22,757.5,761.2,41,variable wind direction,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,8
26.10.2020 11:00,21,758.3,762,43,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,8
26.10.2020 10:00,19,758.3,762,52,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,9
26.10.2020 09:00,16,759,762.8,68,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,10
25.10.2020 16:00,20,754.5,758.2,35,Wind blowing from the south-southwest,2,,,,Few clouds (10-30%) 900 m,10.0 and more,4
25.10.2020 15:00,21,754.5,758.2,33,Wind blowing from the south,2,,,,Few clouds (10-30%) 900 m,10.0 and more,4
25.10.2020 14:00,21,754.5,758.2,29,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,2
25.10.2020 13:00,20,754.5,758.2,33,variable wind direction,2,,,,Few clouds (10-30%) 900 m,10.0 and more,3
25.10.2020 12:00,20,754.5,758.2,30,variable wind direction,2,,,,Few clouds (10-30%) 900 m,10.0 and more,2
25.10.2020 11:00,19,755.3,759,35,Wind blowing from the north,2,,,,Few clouds (10-30%) 900 m,10.0 and more,3
25.10.2020 10:00,18,755.3,759,40,Wind blowing from the north,3,,,,Few clouds (10-30%) 900 m,10.0 and more,4
25.10.2020 09:00,16,755.9,759.7,48,Wind blowing from the north-northwest,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1200 m",10.0 and more,5
25.10.2020 08:30,15,755.9,759.7,55,Wind blowing from the north,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1200 m",10.0 and more,6
24.10.2020 16:00,19,749.4,753.1,49,Wind blowing from the south-southeast,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1800 m",10.0 and more,8
24.10.2020 15:00,20,748.6,752.3,43,Wind blowing from the east-southeast,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1800 m",10.0 and more,7
24.10.2020 14:00,19,749.4,753.1,46,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m",10.0 and more,7
24.10.2020 13:00,20,749.4,753.1,49,variable wind direction,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m",10.0 and more,9
24.10.2020 12:00,19,750.2,753.9,49,Wind blowing from the north-east,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1800 m",10.0 and more,8
24.10.2020 11:00,18,750.9,754.6,52,Wind blowing from the north,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1050 m, broken clouds (60-90%) 1800 m",10.0 and more,8
24.10.2020 10:00,19,750.9,754.6,52,Wind blowing from the north,5,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1800 m",10.0 and more,9
24.10.2020 09:00,17,750.9,754.6,56,Wind blowing from the north,4,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m, broken clouds (60-90%) 2700 m",10.0 and more,8
23.10.2020 16:00,18,746.4,750.1,100,variable wind direction,1,,"Light shower(s), rain",,"Few clouds (10-30%) 450 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1800 m",7,18
23.10.2020 15:00,18,745.6,749.3,94,variable wind direction,1,,"Light shower(s), rain",,"Few clouds (10-30%) 180 m, scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m",6,17
23.10.2020 14:31,18,745.6,749.3,94,Wind blowing from the north,2,,"Light shower(s), rain",,"Few clouds (10-30%) 180 m, scattered clouds (40-50%) 240 m, broken clouds (60-90%) 450 m",6,17
23.10.2020 14:00,17,745.6,749.3,100,Wind blowing from the north-northwest,2,,"Light shower(s), rain, mist",,"Few clouds (10-30%) 120 m, scattered clouds (40-50%) 180 m, broken clouds (60-90%) 240 m",5,17
23.10.2020 13:33,17,746.4,750.1,100,Wind blowing from the north-northwest,3,,"Light shower(s), rain, mist",,"Few clouds (10-30%) 150 m, scattered clouds (40-50%) 210 m, broken clouds (60-90%) 750 m",4,17
23.10.2020 13:23,17,746.4,750.1,100,Wind blowing from the north-northwest,3,,"Shower(s), rain, mist",,"Few clouds (10-30%) 150 m, scattered clouds (40-50%) 210 m, broken clouds (60-90%) 600 m",3.5,17
23.10.2020 13:00,17,746.4,750.1,100,Wind blowing from the north-northwest,3,,"Light shower(s), rain, mist",,"Few clouds (10-30%) 150 m, scattered clouds (40-50%) 180 m, broken clouds (60-90%) 450 m",4,17
23.10.2020 12:15,17,746.4,750.1,94,Wind blowing from the north-northeast,3,,"Light shower(s), rain, mist",,"Few clouds (10-30%) 150 m, scattered clouds (40-50%) 180 m, broken clouds (60-90%) 450 m",5,16
23.10.2020 12:00,17,747.1,750.8,94,Wind blowing from the north-northeast,3,,"Light shower(s), rain, mist",,"Few clouds (10-30%) 150 m, scattered clouds (40-50%) 180 m, broken clouds (60-90%) 450 m",4.5,16
23.10.2020 11:44,17,747.1,750.8,94,Wind blowing from the north,3,,"Light shower(s), rain, mist",,"Few clouds (10-30%) 120 m, scattered clouds (40-50%) 180 m, broken clouds (60-90%) 360 m",4,16
23.10.2020 11:12,17,747.9,751.6,94,Wind blowing from the north,3,,Mist,,"Few clouds (10-30%) 120 m, scattered clouds (40-50%) 180 m, broken clouds (60-90%) 450 m",5,16
23.10.2020 11:00,17,747.9,751.6,94,Wind blowing from the north,3,,Mist,,"Few clouds (10-30%) 120 m, scattered clouds (40-50%) 180 m, broken clouds (60-90%) 240 m",5,16
23.10.2020 10:28,17,748.6,752.3,94,variable wind direction,1,,"Light rain, mist",,"Few clouds (10-30%) 90 m, scattered clouds (40-50%) 180 m, broken clouds (60-90%) 240 m",3.5,16
23.10.2020 10:00,16,747.9,751.6,100,Wind blowing from the north,2,,"Light rain, mist",,"Few clouds (10-30%) 90 m, scattered clouds (40-50%) 150 m, broken clouds (60-90%) 180 m",2,16
23.10.2020 09:40,16,748.6,752.3,100,Wind blowing from the north-northwest,1,,"Light rain, mist",,"Few clouds (10-30%) 90 m, scattered clouds (40-50%) 150 m, broken clouds (60-90%) 180 m",2.5,16
23.10.2020 09:25,16,748.6,752.3,100,Wind blowing from the north,2,,"Light rain, mist",,"Few clouds (10-30%) 90 m, scattered clouds (40-50%) 120 m, broken clouds (60-90%) 150 m",2.5,16
23.10.2020 09:00,16,749.4,753.1,100,Wind blowing from the north-northwest,2,,"Light rain, mist",,"Few clouds (10-30%) 90 m, scattered clouds (40-50%) 150 m, broken clouds (60-90%) 180 m",2,16
23.10.2020 08:30,16,749.4,753.1,94,variable wind direction,1,,Mist,,"Few clouds (10-30%) 150 m, scattered clouds (40-50%) 180 m, broken clouds (60-90%) 210 m",3,15
23.10.2020 08:10,16,749.4,753.1,94,Wind blowing from the north-northwest,2,,Mist,,"Few clouds (10-30%) 180 m, broken clouds (60-90%) 210 m, broken clouds (60-90%) 360 m",4,15
22.10.2020 16:00,20,758.3,762,64,Wind blowing from the north,2,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 3000 m, broken clouds (60-90%) 4500 m",10.0 and more,13
22.10.2020 15:00,20,758.3,762,64,Wind blowing from the north,2,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 3600 m, broken clouds (60-90%) 4500 m",10.0 and more,13
22.10.2020 14:00,21,758.3,762,60,Wind blowing from the north,3,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 4500 m, broken clouds (60-90%)",10.0 and more,13
22.10.2020 13:00,21,759.1,762.8,57,Wind blowing from the north,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 4500 m, broken clouds (60-90%)",10.0 and more,12
22.10.2020 12:00,21,759.8,763.5,60,Wind blowing from the north-northeast,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 4500 m, broken clouds (60-90%)",10.0 and more,13
22.10.2020 11:00,21,760.6,764.3,57,Wind blowing from the north-northwest,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%)",10.0 and more,12
22.10.2020 10:00,19,761.3,765,60,Wind blowing from the north,3,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m, broken clouds (60-90%) 4500 m",10.0 and more,11
22.10.2020 09:00,17,761.2,765,64,Wind blowing from the north,4,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 2400 m, broken clouds (60-90%) 4500 m",10.0 and more,10
22.10.2020 08:30,17,762,765.8,73,Wind blowing from the north-northwest,2,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 4500 m",10.0 and more,12
21.10.2020 16:00,19,763.5,767.3,52,Wind blowing from the north-east,4,,,,No Significant Clouds,10.0 and more,9
21.10.2020 15:00,20,763.6,767.3,46,Wind blowing from the north-east,4,10,,,No Significant Clouds,10.0 and more,8
21.10.2020 14:00,19,763.5,767.3,49,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,8
21.10.2020 13:00,19,764.3,768.1,46,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,7
21.10.2020 12:00,20,765.1,768.9,46,Wind blowing from the north-east,3,,,,Scattered clouds (40-50%) 1200 m,10.0 and more,8
21.10.2020 11:00,18,765.8,769.6,56,Wind blowing from the north-east,3,,,,Broken clouds (60-90%) 1050 m,10.0 and more,9
21.10.2020 10:00,18,766.6,770.4,60,Wind blowing from the north,4,,,,Few clouds (10-30%) 900 m,10.0 and more,10
21.10.2020 09:00,17,766.6,770.4,64,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,10
21.10.2020 08:30,16,766.6,770.4,68,Wind blowing from the north,5,,,,Few clouds (10-30%) 1200 m,10.0 and more,10
20.10.2020 16:00,20,763.6,767.3,49,Wind blowing from the north-east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,9
20.10.2020 15:00,21,763.6,767.3,46,Wind blowing from the east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,9
20.10.2020 14:00,21,763.6,767.3,40,Wind blowing from the east-northeast,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,7
20.10.2020 13:00,21,764.4,768.1,43,Wind blowing from the north-northeast,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,8
20.10.2020 12:00,20,765.1,768.9,49,Wind blowing from the north,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 5400 m, broken clouds (60-90%)",10.0 and more,9
20.10.2020 11:00,18,765.1,768.9,56,Wind blowing from the north-northeast,3,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,9
20.10.2020 10:00,17,765.1,768.9,64,Wind blowing from the north,3,,,,"Few clouds (10-30%) 1200 m, broken clouds (60-90%)",10.0 and more,10
20.10.2020 09:00,15,765.1,768.9,77,Wind blowing from the north,2,,,,"Few clouds (10-30%) 1200 m, broken clouds (60-90%)",10.0 and more,11
20.10.2020 08:30,15,765.1,768.9,77,Wind blowing from the north,2,,,,"Few clouds (10-30%) 1200 m, broken clouds (60-90%)",10.0 and more,11
19.10.2020 16:17,13,763.5,767.3,94,variable wind direction,1,,Light rain,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 3000 m",10.0 and more,12
19.10.2020 16:00,13,763.5,767.3,94,"Calm, no wind",0,,Rain,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 1800 m, overcast (100%) 3000 m",8,12
19.10.2020 15:36,13,763.5,767.3,94,variable wind direction,1,,Light rain,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 1800 m, overcast (100%) 3000 m",10.0 and more,12
19.10.2020 15:16,13,763.5,767.3,88,Wind blowing from the north-west,2,,Rain,,"Few clouds (10-30%) 600 m, broken clouds (60-90%) 1800 m, overcast (100%) 3000 m",7,11
19.10.2020 15:00,14,763.5,767.3,88,Wind blowing from the north-west,3,,Light rain,,"Few clouds (10-30%) 600 m, broken clouds (60-90%) 1800 m, overcast (100%) 3000 m",8,12
19.10.2020 14:00,15,762.8,766.6,88,variable wind direction,1,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%) 1800 m, broken clouds (60-90%) 3000 m",10.0 and more,13
19.10.2020 13:00,15,762.8,766.6,82,variable wind direction,1,,Light rain,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 3000 m",10.0 and more,12
19.10.2020 12:00,16,762.8,766.6,72,Wind blowing from the north-northwest,2,,Light rain,,"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 3000 m, broken clouds (60-90%) 4500 m",10.0 and more,11
19.10.2020 11:00,16,762.8,766.6,68,Wind blowing from the north,3,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 3000 m, broken clouds (60-90%) 4500 m",10.0 and more,10
19.10.2020 10:00,15,762.8,766.6,72,Wind blowing from the north-east,2,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 3000 m, broken clouds (60-90%) 4500 m",10.0 and more,10
19.10.2020 09:00,13,763.5,767.3,82,Wind blowing from the north,2,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%) 4500 m, broken clouds (60-90%)",10.0 and more,10
19.10.2020 08:30,13,763.5,767.3,82,Wind blowing from the north,2,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 4500 m, broken clouds (60-90%)",10.0 and more,10
18.10.2020 16:00,18,762,765.8,60,Wind blowing from the north-northwest,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 5400 m, broken clouds (60-90%)",10.0 and more,10
18.10.2020 15:00,18,761.2,765,60,Wind blowing from the north,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 5400 m, broken clouds (60-90%)",10.0 and more,10
18.10.2020 14:00,19,762,765.8,52,Wind blowing from the north,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,9
18.10.2020 13:00,19,762,765.8,56,Wind blowing from the north,3,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%)",10.0 and more,10
18.10.2020 12:00,18,762,765.8,60,Wind blowing from the north,2,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%)",10.0 and more,10
18.10.2020 11:00,17,762.8,766.6,64,Wind blowing from the north,4,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 4500 m, broken clouds (60-90%)",10.0 and more,10
18.10.2020 10:00,17,763.5,767.3,68,Wind blowing from the north,4,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%)",10.0 and more,11
18.10.2020 09:00,15,763.5,767.3,82,Wind blowing from the north,4,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%)",10.0 and more,12
18.10.2020 08:30,14,763.5,767.3,82,Wind blowing from the north-northwest,4,,,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 3600 m, broken clouds (60-90%)",10.0 and more,11
17.10.2020 16:23,12,762.8,766.6,94,Wind blowing from the north-northwest,3,,"Light rain, mist",,"Few clouds (10-30%) 180 m, scattered clouds (40-50%) 450 m, broken clouds (60-90%) 750 m",5,11
17.10.2020 16:05,12,762.8,766.6,100,Wind blowing from the north,3,,"Rain, mist",,"Few clouds (10-30%) 180 m, scattered clouds (40-50%) 240 m, broken clouds (60-90%) 450 m",4,12
17.10.2020 16:00,12,762,765.8,100,Wind blowing from the north-northwest,3,,"Light rain, mist",,"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 300 m, broken clouds (60-90%) 450 m",4,12
17.10.2020 15:00,12,761.2,765,94,Wind blowing from the north,4,,Light rain,,"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 450 m, broken clouds (60-90%) 3000 m",7,11
17.10.2020 14:00,12,761.2,765,94,Wind blowing from the north,4,,Light rain,,"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 300 m, broken clouds (60-90%) 450 m",7,11
17.10.2020 13:00,12,762,765.8,94,Wind blowing from the north,5,,Light rain,,"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 450 m, broken clouds (60-90%) 750 m",7,11
17.10.2020 12:00,12,762,765.8,100,Wind blowing from the north,4,,Light rain,,"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 300 m, broken clouds (60-90%) 1800 m",6,12
17.10.2020 11:00,12,762,765.8,94,Wind blowing from the north,4,,Light rain,,"Few clouds (10-30%) 240 m, broken clouds (60-90%) 600 m, broken clouds (60-90%) 1500 m",7,11
17.10.2020 10:00,12,762.8,766.6,100,Wind blowing from the north-northwest,2,,"Light rain, mist",,"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 300 m, broken clouds (60-90%) 1500 m",5,12
17.10.2020 09:00,12,762.8,766.6,94,Wind blowing from the north-northwest,2,,Light rain,,"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 450 m, broken clouds (60-90%) 1350 m",6,11
16.10.2020 16:00,17,760.5,764.3,37,Wind blowing from the north,3,,,,"Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 4500 m, broken clouds (60-90%)",10.0 and more,2
16.10.2020 15:00,18,761.2,765,34,Wind blowing from the north-northeast,4,,,,"Few clouds (10-30%) 1200 m, broken clouds (60-90%)",10.0 and more,2
16.10.2020 14:00,19,761.3,765,32,Wind blowing from the north-east,5,,,,"Few clouds (10-30%) 1200 m, scattered clouds (40-50%)",10.0 and more,2
16.10.2020 13:00,19,761.3,765,35,Wind blowing from the north,5,,,,"Few clouds (10-30%) 1200 m, scattered clouds (40-50%)",10.0 and more,3
16.10.2020 12:00,18,762,765.8,40,Wind blowing from the north,5,,,,"Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 2100 m, broken clouds (60-90%)",10.0 and more,4
16.10.2020 11:00,18,762.8,766.6,49,Wind blowing from the north-east,4,,,,"Few clouds (10-30%) 1200 m, broken clouds (60-90%) 2100 m",10.0 and more,7
