# Weather station Washington / Ronald Reagan (airport), USA, WMO_ID=72405,selection from 01.01.2020 till 01.01.2021, all days,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: ANSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis""", rp5.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,
# If you use the data, please indicate the name of the website.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Washington / Ronald Reagan (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
13.10.2020 13:00,20.6,758.5,760.1,-1.1,66,Wind blowing from the north-northwest,6,9,,50%., ,,,13.9,20.6,,,600-1000,,,16,13.9,,,,,,
13.10.2020 10:00,16.1,759.6,761.1,1.1,87,Wind blowing from the north-northwest,5,,,100%., ,,,,,,,200-300,,,16,13.9,,,,,,
13.10.2020 07:00,13.9,758.5,760.3,0.4,93,Wind blowing from the north-northwest,4,,,100%.,Mist. ,,,13.3,,,,200-300,,,8,12.8,Trace of precipitation,6,,,,
13.10.2020 04:00,13.3,758.1,759.8,-0.4,97,Wind blowing from the north-northwest,5,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,4.8,12.8,Trace of precipitation,3,,,,
13.10.2020 01:00,14.4,758.5,760.2,-0.6,97,Wind blowing from the north-northwest,5,,,100%., ,,,14.4,,,,300-600,,,16,13.9,1,6,,,,
12.10.2020 22:00,15,759.1,760.6,-0.2,93,Wind blowing from the north-northwest,4,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,6,13.9,0.8,3,,,,
12.10.2020 19:00,15,759.3,760.8,0.2,93,Wind blowing from the north-northeast,6,,,100%., ,,,15,16.7,,,200-300,,,16,13.9,1,6,,,,
12.10.2020 16:00,15.6,759.1,760.6,-0.5,93,Wind blowing from the north-northeast,7,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",,,,,,,300-600,,,6,14.4,0.8,3,,,,
12.10.2020 13:00,15.6,759.6,761.1,-0.5,93,Wind blowing from the north-east,7,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",,,15.6,18.9,,,200-300,,,3.2,14.4,0.5,6,,,,
12.10.2020 10:00,15.6,760.1,761.7,0.3,93,Wind blowing from the north-east,7,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,6,14.4,Trace of precipitation,3,,,,
12.10.2020 07:00,16.7,759.8,761.3,0.5,93,Wind blowing from the north-east,8,13,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",,,16.7,21.7,,,300-600,,,4.8,15.6,18,6,,,,
12.10.2020 04:00,18.3,759.3,760.9,-1,97,Wind blowing from the north-northeast,5,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,100-200,,,4.8,17.8,9,3,,,,
12.10.2020 01:00,18.9,760.3,762.1,-1.1,93,Wind blowing from the north-east,4,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,18.3,19.4,,,200-300,,,4.8,17.8,13,6,,,,
11.10.2020 22:00,19.4,761.4,763,-0.2,93,Wind blowing from the east,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,9,18.3,7,3,,,,
11.10.2020 19:00,19.4,761.6,763.3,0.2,93,Wind blowing from the east,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,18.3,21.7,,,1000-1500,,,11,18.3,6,6,,,,
11.10.2020 16:00,20.6,761.4,762.9,0,90,Wind blowing from the east-southeast,2,,,100%., ,,,,,,,600-1000,,,16,18.9,2,3,,,,
11.10.2020 13:00,21.1,761.4,762.9,-0.7,87,Wind blowing from the south-southwest,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,18.9,21.7,,,300-600,,,11,18.9,0.3,6,,,,
11.10.2020 10:00,20.6,762.1,763.7,0.5,87,Wind blowing from the south,2,,,100%., ,,,,,,,300-600,,,16,18.3,,,,,,
11.10.2020 07:00,18.9,761.6,763.1,1.3,93,"Calm, no wind",0,,,100%., ,,,18.3,,,,200-300,,,16,17.8,,,,,,
11.10.2020 04:00,18.9,760.3,762,-0.8,90,Wind blowing from the west-southwest,2,,,100%., ,,,,,,,300-600,,,16,17.2,,,,,,
11.10.2020 01:00,19.4,761.1,762.6,0,87,Wind blowing from the south,2,,,100%., ,,,15.6,20,,,1500-2000,,,16,17.2,,,,,,
10.10.2020 22:00,19.4,761.1,762.6,0.8,87,Wind blowing from the south,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,17.2,,,,,,
10.10.2020 19:00,20,760.3,762.1,0,84,Wind blowing from the south-southwest,3,,,100%., ,,,15.6,23.3,,,"2500 or more, or no clouds.",,,16,17.2,,,,,,
10.10.2020 16:00,21.1,760.3,762.1,-0.3,79,Wind blowing from the south-southwest,5,,,100%., ,,,,,,,600-1000,,,16,17.2,,,,,,
10.10.2020 13:00,22.2,760.6,762.2,-1.8,73,Wind blowing from the south-southwest,5,,,100%., ,,,16.1,22.2,,,"2500 or more, or no clouds.",,,16,17.2,,,,,,
10.10.2020 10:00,19.4,762.4,763.9,-0.2,76,Wind blowing from the south-southwest,4,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,15,,,,,,
10.10.2020 07:00,16.1,762.6,764.3,0.2,84,Wind blowing from the south,4,,,70 � 80%., ,,,15.6,,,,"2500 or more, or no clouds.",,,16,13.3,,,,,,
10.10.2020 04:00,16.1,762.4,764,-1.2,78,Wind blowing from the south,5,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,12.2,,,,,,
10.10.2020 01:00,16.1,763.6,765.2,-0.8,78,Wind blowing from the south-southwest,4,,,100%., ,,,10,16.7,,,"2500 or more, or no clouds.",,,16,12.2,,,,,,
09.10.2020 22:00,16.1,764.4,766,-0.5,75,Wind blowing from the south-southwest,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,11.7,,,,,,
09.10.2020 19:00,16.7,764.9,766.6,-0.2,70,Wind blowing from the south-southwest,3,,,100%., ,,,10,21.7,,,"2500 or more, or no clouds.",,,16,11.1,,,,,,
09.10.2020 16:00,20.6,765.1,766.8,-1.1,45,Wind blowing from the south,6,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,8.3,,,,,,
09.10.2020 13:00,21.1,766.2,767.8,-1,38,Wind blowing from the south,5,,,70 � 80%., ,,,11.1,21.1,,,"2500 or more, or no clouds.",,,16,6.1,,,,,,
09.10.2020 10:00,17.2,767.2,768.8,0.3,63,Wind blowing from the south,4,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,10,,,,,,
09.10.2020 07:00,11.1,766.9,768.5,1,75,"Calm, no wind",0,,,50%., ,,,10,21.7,,,"2500 or more, or no clouds.",,,16,6.7,,,,,,
09.10.2020 04:00,10,765.9,767.3,0,83,Wind blowing from the south-southwest,3,,,no clouds, ,,,,,,,,,,16,7.2,,,,,,
09.10.2020 01:00,13.3,765.9,767.4,0.5,72,"Calm, no wind",0,,,no clouds, ,,,12.8,18.3,,,,,,16,8.3,,,,,,
08.10.2020 22:00,14.4,765.4,766.9,1.5,65,Wind blowing from the north,2,,,no clouds, ,,,,,,,,,,16,7.8,,,,,,
08.10.2020 19:00,16.7,763.9,765.5,1.8,48,Wind blowing from the north-northwest,3,,,no clouds, ,,,14.4,21.7,,,,,,16,5.6,,,,,,
08.10.2020 16:00,21.1,762.1,763.8,0,38,Wind blowing from the north-west,5,11,,20�30%., ,,,,,,,1500-2000,,,16,6.1,,,,,,
08.10.2020 13:00,21.1,762.1,763.7,-0.5,41,Wind blowing from the west-northwest,8,13,,20�30%., ,,,15,21.1,,,1500-2000,,,16,7.2,,,,,,
08.10.2020 10:00,18.9,762.6,764.3,0.8,49,Wind blowing from the north-west,8,11,,20�30%., ,,,,,,,1000-1500,,,16,7.8,,,,,,
08.10.2020 07:00,15,761.8,763.3,2,64,Wind blowing from the north-northwest,5,,,no clouds, ,,,14.4,27.2,,,,,,16,8.3,,,,,,
08.10.2020 04:00,16.1,759.8,761.5,1.7,63,Wind blowing from the north,4,,,no clouds, ,,,,,,,,,,16,8.9,,,,,,
08.10.2020 01:00,16.7,758.1,759.7,1.3,73,Wind blowing from the north,3,,,20�30%., ,,,13.3,24.4,,,2000-2500,,,16,11.7,,,,,,
07.10.2020 22:00,21.1,756.8,758.5,1.8,66,Wind blowing from the north-northwest,4,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,14.4,,,,,,
07.10.2020 19:00,24.4,755,756.5,2,50,Wind blowing from the west,3,,,50%., ,,,13.3,27.2,,,1500-2000,,,16,13.3,,,,,,
07.10.2020 16:00,26.7,753,754.7,-2,42,Wind blowing from the south-southwest,6,,,20�30%., ,,,,,,,1500-2000,,,16,12.8,,,,,,
07.10.2020 13:00,25.6,755,756.5,-2.3,42,Wind blowing from the south-west,5,10,,20�30%., ,,,14.4,26.1,,,"2500 or more, or no clouds.",,,16,11.7,,,,,,
07.10.2020 10:00,21.7,757.3,758.8,-0.8,61,Wind blowing from the south-southwest,6,,,no clouds, ,,,,,,,,,,16,13.9,,,,,,
07.10.2020 07:00,14.4,758.1,759.5,-0.2,93,Wind blowing from the south-southwest,3,,,20�30%., ,,,13.3,22.2,,,300-600,,,16,13.3,,,,,,
07.10.2020 04:00,13.9,758.3,760,-0.8,90,Wind blowing from the south-southwest,2,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,12.2,,,,,,
07.10.2020 01:00,15,759.1,760.6,-1,87,Wind blowing from the south-southwest,4,,,20�30%., ,,,9.4,18.3,,,"2500 or more, or no clouds.",,,16,12.8,,,,,,
06.10.2020 22:00,16.7,760.1,761.8,-0.5,78,Wind blowing from the south-southwest,4,,,20�30%., ,,,,,,,2000-2500,,,16,12.8,,,,,,
06.10.2020 19:00,18.3,760.6,762.2,-0.3,73,Wind blowing from the south,3,,,20�30%., ,,,9.4,22.2,,,1500-2000,,,16,13.3,,,,,,
06.10.2020 16:00,21.7,760.9,762.3,-1.5,55,Wind blowing from the south,5,,,50%., ,,,,,,,1500-2000,,,16,12.2,,,,,,
06.10.2020 13:00,21.1,762.4,763.9,-2.2,59,Wind blowing from the south,5,,,20�30%., ,,,10.6,21.1,,,1000-1500,,,16,12.8,,,,,,
06.10.2020 10:00,17.8,764.6,766.3,-0.8,70,Wind blowing from the south,4,,,20�30%., ,,,,,,,600-1000,,,16,12.2,,,,,,
06.10.2020 07:00,10.6,765.4,767,0.5,86,Wind blowing from the west-southwest,2,,,no clouds, ,,,9.4,21.1,,,,,,16,8.3,,,,,,
06.10.2020 04:00,10.6,764.9,766.5,-0.5,86,Wind blowing from the south-west,2,,,no clouds, ,,,,,,,,,,16,8.3,,,,,,
06.10.2020 01:00,12.8,765.4,766.9,-0.5,77,"Calm, no wind",0,,,no clouds, ,,,12.2,17.8,,,,,,16,8.9,,,,,,
05.10.2020 22:00,15,765.9,767.4,0.5,62,Wind blowing from the west-northwest,2,,,20�30%., ,,,,,,,1500-2000,,,16,7.8,,,,,,
05.10.2020 19:00,17.8,765.4,766.9,0.8,50,Wind blowing from the west,2,,,100%., ,,,12.8,21.1,,,1500-2000,,,16,7.2,,,,,,
05.10.2020 16:00,19.4,764.6,766.1,-0.5,44,Wind blowing from the north-west,4,,,70 � 80%., ,,,,,,,1500-2000,,,16,6.7,,,,,,
05.10.2020 13:00,20,765.1,766.6,-0.6,47,Wind blowing from the north-northwest,7,10,,50%., ,,,13.9,20.6,,,1500-2000,,,16,8.3,,,,,,
05.10.2020 10:00,17.2,765.7,767.2,1.3,60,Wind blowing from the north-northwest,8,11,,20�30%., ,,,,,,,1000-1500,,,16,9.4,,,,,,
05.10.2020 07:00,13.9,764.4,765.9,1.5,81,Wind blowing from the north-west,4,,,20�30%., ,,,12.8,21.1,,,2000-2500,,,16,10.6,0.5,6,,,,
05.10.2020 04:00,13.9,762.9,764.5,0,87,Wind blowing from the north,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1500-2000,,,16,11.7,0.3,3,,,,
05.10.2020 01:00,13.9,762.9,764.4,-0.2,81,Wind blowing from the west-southwest,2,,,50%., ,,,8.9,17.8,,,"2500 or more, or no clouds.",,,16,10.6,Trace of precipitation,6,,,,
04.10.2020 22:00,15.6,763.1,764.7,0,75,Wind blowing from the south-west,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,11.1,,,,,,
04.10.2020 19:00,17.2,763.1,764.8,0,56,"Calm, no wind",0,,,70 � 80%., ,,,8.9,21.1,,,2000-2500,,,16,8.3,,,,,,
04.10.2020 16:00,19.4,763.1,764.7,-1.5,44,Wind blowing from the south-east,3,,,70 � 80%., ,,,,,,,1500-2000,,,16,6.7,,,,,,
04.10.2020 13:00,20.6,764.6,766.2,-1.8,39,"Calm, no wind",0,,,50%., ,,,10,20.6,,,1000-1500,,,16,6.1,,,,,,
04.10.2020 10:00,17.2,766.4,768.1,-0.8,60,Wind blowing from the north-east,2,,,50%., ,,,,,,,600-1000,,,16,9.4,,,,,,
04.10.2020 07:00,10,767.2,768.8,0.5,86,Wind blowing from the north-northwest,2,,,20�30%., ,,,8.9,20,,,"2500 or more, or no clouds.",,,16,7.8,,,,,,
04.10.2020 04:00,10,766.7,768.4,-0.8,86,Wind blowing from the north,2,,,no clouds, ,,,,,,,,,,16,7.8,,,,,,
04.10.2020 01:00,11.7,767.5,769,0,83,Wind blowing from the north,2,,,no clouds, ,,,9.4,16.1,,,,,,16,8.9,,,,,,
03.10.2020 22:00,13.3,767.5,769,0.8,70,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,16,7.8,,,,,,
03.10.2020 19:00,15.6,766.7,768.2,0.8,47,Wind blowing from the north-northwest,2,,,no clouds, ,,,9.4,20,,,,,,16,4.4,,,,,,
03.10.2020 16:00,19.4,765.9,767.5,-0.5,37,Wind blowing from the north,2,,,20�30%., ,,,,,,,1500-2000,,,16,4.4,,,,,,
03.10.2020 13:00,19.4,766.4,768.1,-1.1,36,,3,,,20�30%., ,,,10.6,19.4,,,600-1000,,,16,3.9,,,,,,
03.10.2020 10:00,16.7,767.5,768.9,0.8,52,Wind blowing from the north-west,2,,,20�30%., ,,,,,,,"2500 or more, or no clouds.",,,16,6.7,,,,,,
03.10.2020 07:00,10.6,766.7,768.2,1,74,Wind blowing from the north-northwest,4,,,20�30%., ,,,9.4,20.6,,,"2500 or more, or no clouds.",,,16,6.1,,,,,,
03.10.2020 04:00,11.7,765.7,767.1,0.8,66,Wind blowing from the north-northwest,5,,,no clouds, ,,,,,,,,,,16,5.6,,,,,,
03.10.2020 01:00,11.7,764.9,766.4,0.5,69,Wind blowing from the north-northwest,6,,,no clouds, ,,,11.7,16.7,,,,,,16,6.1,,,,,,
02.10.2020 22:00,13.9,764.4,765.9,1.8,60,Wind blowing from the north-northwest,3,,,no clouds, ,,,,,,,,,,16,6.1,,,,,,
02.10.2020 19:00,16.1,762.6,764.3,1,52,Wind blowing from the north-northwest,5,,,no clouds, ,,,13.9,20.6,,,,,,16,6.1,,,,,,
02.10.2020 16:00,19.4,761.6,763.2,0.2,44,Wind blowing from the north-northwest,6,,,50%., ,,,,,,,1500-2000,,,16,6.7,,,,,,
02.10.2020 13:00,19.4,761.4,762.9,-0.2,42,Wind blowing from the west,7,11,,50%., ,,,13.9,20,,,1500-2000,,,16,6.1,,,,,,
02.10.2020 10:00,17.2,761.6,763.2,0.7,54,Wind blowing from the west-northwest,6,,,50%., ,,,,,,,600-1000,,,16,7.8,,,,,,
02.10.2020 07:00,13.9,760.9,762.4,0.3,87,Wind blowing from the south-east,2,,,70 � 80%., ,,,13.9,24.4,,,300-600,,,16,11.7,2,6,,,,
02.10.2020 04:00,13.9,760.6,762.2,0.3,90,Wind blowing from the west-southwest,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1500-2000,,,16,12.2,1,3,,,,
02.10.2020 01:00,14.4,760.3,761.9,0.2,87,Wind blowing from the south-southwest,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,13.9,18.9,,,2000-2500,,,16,12.2,1,6,,,,
01.10.2020 22:00,16.1,760.1,761.8,0.8,90,Wind blowing from the south-east,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1500-2000,,,16,14.4,0.3,3,,,,
01.10.2020 19:00,18.9,759.3,760.9,1.2,61,Wind blowing from the north-east,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,13.9,24.4,,,1500-2000,,,16,11.1,Trace of precipitation,6,,,,
01.10.2020 16:00,21.7,758.1,759.7,-0.4,55,Wind blowing from the north-northwest,5,,,100%., ,,,,,,,1500-2000,,,16,12.2,,,,,,
01.10.2020 13:00,23.9,758.5,760.3,-0.8,50,Wind blowing from the north-northwest,4,,,50%., ,,,14.4,23.9,,,1000-1500,,,16,12.8,,,,,,
01.10.2020 10:00,20,759.3,760.8,0.2,65,"Calm, no wind",0,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,13.3,,,,,,
01.10.2020 07:00,14.4,759.1,760.6,1.3,87,Wind blowing from the south-southwest,2,,,70 � 80%., ,,,13.9,21.7,,,"2500 or more, or no clouds.",,,16,12.2,,,,,,
01.10.2020 04:00,14.4,757.8,759.4,-0.5,87,Wind blowing from the south-southwest,3,,,no clouds, ,,,,,,,,,,16,12.2,,,,,,
01.10.2020 01:00,15.6,758.3,759.8,0.5,80,Wind blowing from the south,5,,,no clouds, ,,,13.3,21.7,,,,,,16,12.2,,,,,,
30.09.2020 22:00,16.7,757.8,759.4,0.5,73,Wind blowing from the south,5,,,no clouds, ,,,,,,,,,,16,11.7,,,,,,
30.09.2020 19:00,18.3,757.3,758.8,1,63,Wind blowing from the south,5,,,20�30%., ,,,13.3,21.7,,,1500-2000,,,16,11.1,,,,,,
30.09.2020 16:00,21.1,756.3,757.9,-0.5,51,Wind blowing from the south-southwest,5,8,,20�30%., ,,,,,,,1500-2000,,,16,10.6,,,,,,
30.09.2020 13:00,21.1,756.8,758.4,0,47,Wind blowing from the south-west,7,8,,50%., ,,,13.3,21.7,,,1500-2000,,,16,9.4,,,,,,
30.09.2020 10:00,18.9,756.8,758.3,1,54,Wind blowing from the west,7,10,,20�30%., ,,,,,,,600-1000,,,16,9.4,,,,,,
30.09.2020 07:00,13.3,755.8,757.2,2.3,93,Wind blowing from the south-southwest,4,,,20�30%., ,,,12.8,,,,200-300,,,16,12.2,2,6,,,,
30.09.2020 04:00,13.9,753.5,755.1,3.3,90,Wind blowing from the west-southwest,4,,,100%., ,,,,,,,300-600,,,16,12.2,2,3,,,,
30.09.2020 01:00,14.4,750.2,751.6,-3,90,Wind blowing from the north-east,5,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,13.9,22.2,,,300-600,,,16,12.8,6,6,,,,
29.09.2020 22:00,13.9,753.2,754.8,-0.3,87,Wind blowing from the north-northwest,7,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1000-1500,,,11,11.7,1,3,,,,
29.09.2020 19:00,17.8,753.5,755,0,81,Wind blowing from the north-northwest,7,12,,100%., ,,,17.8,26.7,,,300-600,,,16,14.4,Trace of precipitation,6,,,,
29.09.2020 16:00,22.2,753.5,755.1,-1.5,68,Wind blowing from the west-northwest,7,,,100%., ,,,,,,,600-1000,,,16,16.1,,,,,,
29.09.2020 13:00,25,755,756.5,-1.5,77,Wind blowing from the south,5,,,70 � 80%., ,,,21.1,26.1,,,1000-1500,,,16,20.6,,,,,,
29.09.2020 10:00,24.4,756.5,758.2,0,79,Wind blowing from the south,6,,,70 � 80%., ,,,,,,,600-1000,,,16,20.6,,,,,,
29.09.2020 07:00,21.1,756.5,758.2,0.2,93,Wind blowing from the south,5,,,70 � 80%., ,,,21.1,27.2,,,300-600,,,16,20,,,,,,
29.09.2020 04:00,21.1,756.3,757.9,-0.2,90,Wind blowing from the south,5,,,100%., ,,,,,,,300-600,,,16,19.4,,,,,,
29.09.2020 01:00,21.7,756.5,758.2,-0.8,90,Wind blowing from the south,4,,,50%., ,,,19.4,23.9,,,"2500 or more, or no clouds.",,,16,20,,,,,,
28.09.2020 22:00,22.2,757.3,758.8,0.8,87,Wind blowing from the south,5,,,70 � 80%., ,,,,,,,1500-2000,,,16,20,,,,,,
28.09.2020 19:00,23.9,756.5,758,0,82,Wind blowing from the south,5,,,70 � 80%., ,,,19.4,27.2,,,1000-1500,,,16,20.6,Trace of precipitation,6,,,,
28.09.2020 16:00,26.7,756.5,758.2,-0.8,69,Wind blowing from the south,4,,,70 � 80%., ,,,,,,,1000-1500,,,16,20.6,,,,,,
28.09.2020 13:00,25,757.3,759,-0.8,74,Wind blowing from the south,5,,,100%., ,,,20,25,,,600-1000,,,16,20,,,,,,
28.09.2020 10:00,22.2,758.1,759.7,0.3,84,Wind blowing from the south,4,,,50%., ,,,,,,,300-600,,,16,19.4,,,,,,
28.09.2020 07:00,20,757.8,759.4,0.8,90,Wind blowing from the south-southwest,4,,,100%., ,,,19.4,,,,200-300,,,16,18.3,0.3,6,,,,
28.09.2020 04:00,20,757,758.7,-0.8,90,Wind blowing from the south,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1500-2000,,,16,18.3,Trace of precipitation,3,,,,
28.09.2020 01:00,20.6,757.8,759.5,-0.5,90,Wind blowing from the south,5,,,100%., ,,,20,21.7,,,1000-1500,,,16,18.9,,,,,,
27.09.2020 22:00,20.6,758.3,760,0.5,93,Wind blowing from the south,3,,,100%., ,,,,,,,1000-1500,,,16,19.4,,,,,,
27.09.2020 19:00,22.2,757.8,759.4,0,84,Wind blowing from the south,2,,,50%., ,,,20,25.6,,,1000-1500,,,16,19.4,,,,,,
27.09.2020 16:00,23.9,757.8,759.4,-1.3,79,Wind blowing from the south-southeast,2,,,100%., ,,,,,,,1000-1500,,,16,20,,,,,,
27.09.2020 13:00,23.9,759.1,760.6,-1.2,79,Wind blowing from the east,2,,,100%., ,,,20,24.4,,,1500-2000,,,16,20,,,,,,
27.09.2020 10:00,22.8,760.3,761.9,0.2,81,"Calm, no wind",0,,,70 � 80%., ,,,,,,,300-600,,,16,19.4,,,,,,
27.09.2020 07:00,20,760.1,761.8,0.5,93,Wind blowing from the north-northwest,3,,,100%., ,,,20,22.2,,,300-600,,,14,18.9,1,6,,,,
27.09.2020 04:00,20,759.6,761,-0.2,96,Wind blowing from the north-northwest,2,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",,,,,,,100-200,,,3.2,19.4,0.3,3,,,,
27.09.2020 01:00,20.6,759.8,761.3,-0.5,93,"Calm, no wind",0,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",,,,21.7,,,100-200,,,4,19.4,2,6,,,,
26.09.2020 22:00,20.6,760.3,762,-0.3,93,Wind blowing from the north,2,,,100%., ,,,,,,,200-300,,,14,19.4,1,3,,,,
26.09.2020 19:00,21.1,760.6,762.1,0.8,87,Wind blowing from the north,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,16.7,22.2,,,300-600,,,12,18.9,Trace of precipitation,6,,,,
26.09.2020 16:00,22.2,759.8,761.5,-1.1,79,Wind blowing from the north-northeast,2,,,100%., ,,,,,,,300-600,,,16,18.3,,,,,,
26.09.2020 13:00,21.1,760.9,762.5,-0.9,84,Wind blowing from the north,2,,,100%., ,,,17.8,21.1,,,300-600,,,16,18.3,,,,,,
26.09.2020 10:00,19.4,761.8,763.4,0,87,Wind blowing from the north-northeast,4,,,100%., ,,,,,,,200-300,,,16,17.2,,,,,,
26.09.2020 07:00,17.8,761.8,763.5,0.7,93,Wind blowing from the north,4,,,100%., ,,,16.7,20.6,,,200-300,,,16,16.7,4,6,,,,
26.09.2020 04:00,17.2,761.1,762.7,-1.3,97,Wind blowing from the north-northeast,4,,,100%.,Mist. ,,,,,,,100-200,,,6,16.7,3,3,,,,
26.09.2020 01:00,17.2,762.4,763.9,-0.5,93,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,16.7,18.9,,,100-200,,,4,16.1,11,6,,,,
25.09.2020 22:00,18.3,762.9,764.4,0,90,Wind blowing from the south,5,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,2000-2500,,,16,16.7,0.3,3,,,,
25.09.2020 19:00,18.9,762.9,764.5,0,87,Wind blowing from the east-northeast,3,,,100%., ,,,16.7,20.6,,,600-1000,,,16,16.7,1,6,,,,
25.09.2020 16:00,19.4,762.9,764.4,-0.5,79,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,"2500 or more, or no clouds.",,,16,15.6,0.3,3,,,,
25.09.2020 13:00,19.4,763.4,764.9,-0.8,81,Wind blowing from the south,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,17.2,19.4,,,"2500 or more, or no clouds.",,,16,16.1,Trace of precipitation,6,,,,
25.09.2020 10:00,18.3,764.2,765.7,1.1,84,Wind blowing from the south,4,,,100%., ,,,,,,,1000-1500,,,16,15.6,,,,,,
25.09.2020 07:00,17.2,763.1,764.7,1.3,90,Wind blowing from the south-southwest,4,,,100%., ,,,16.7,,,,200-300,,,16,15.6,,,,,,
25.09.2020 04:00,17.2,761.8,763.4,0.2,93,Wind blowing from the south-southwest,3,,,100%., ,,,,,,,50-100,,,16,16.1,,,,,,
25.09.2020 01:00,17.2,761.6,763.2,-0.2,93,Wind blowing from the south-southwest,2,,,70 � 80%., ,,,16.1,19.4,,,"2500 or more, or no clouds.",,,16,16.1,,,,,,
24.09.2020 22:00,17.8,761.8,763.5,0.7,93,Wind blowing from the south-southwest,2,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,16.7,,,,,,
24.09.2020 19:00,19.4,761.1,762.8,0.5,84,Wind blowing from the south-west,2,,,70 � 80%., ,,,16.1,23.3,,,"2500 or more, or no clouds.",,,16,16.7,,,,,,
24.09.2020 16:00,21.1,760.6,762.2,-0.5,79,Wind blowing from the south,5,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,17.2,,,,,,
24.09.2020 13:00,21.7,761.1,762.7,-0.3,73,Wind blowing from the south,5,,,100%., ,,,17.8,23.3,,,"2500 or more, or no clouds.",,,16,16.7,,,,,,
24.09.2020 10:00,21.7,761.4,762.9,0.8,61,Wind blowing from the north-northwest,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,13.9,,,,,,
24.09.2020 07:00,17.8,760.6,762.3,0.5,84,Wind blowing from the south-east,2,,,100%., ,,,16.1,27.2,,,"2500 or more, or no clouds.",,,16,15,,,,,,
24.09.2020 04:00,16.1,760.1,761.5,0,87,Wind blowing from the south,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,13.9,,,,,,
24.09.2020 01:00,17.2,760.1,761.5,0,73,Wind blowing from the south-southwest,3,,,70 � 80%., ,,,12.8,22.2,,,"2500 or more, or no clouds.",,,16,12.2,,,,,,
23.09.2020 22:00,19.4,760.1,761.8,0.5,68,Wind blowing from the south,4,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,13.3,,,,,,
23.09.2020 19:00,22.2,759.6,761.1,0.8,50,Wind blowing from the south-southwest,4,,,70 � 80%., ,,,12.8,27.2,,,"2500 or more, or no clouds.",,,16,11.1,,,,,,
